Length,13,15,18,19,23,25,30,31,37,39,46,48,60,62
5,46,63,115,134,225,270,471,546,895,1037,1790,2070,3660,4140
10,32,44,82,95,161,192,330,383,639,746,1260,1470,2600,2930
15,25,35,66,77,132,157,267,310,524,615,1030,1200,2140,2400
20,22,31,58,67,116,137,231,269,456,536,888,1050,1850,2080
25,19,27,52,60,104,122,206,240,409,482,793,936,1660,1860
30,18,25,47,55,96,112,188,218,374,442,723,856,1520,1700
40,15,21,41,47,83,97,162,188,325,386,625,742,1320,1470
50,13,19,37,42,75,87,144,168,292,347,559,665,1180,1320
60,12,17,34,38,68,80,131,153,267,318,509,608,1080,1200
70,11,16,31,36,63,74,121,141,248,295,471,563,1000,1110
80,10,15,29,33,60,69,113,132,232,277,440,527,940,1040
90,10,14,28,32,57,65,107,125,219,262,415,498,887,983
100,9,13,26,30,54,62,101,118,208,249,393,472,843,933
150,7,10,20,23,42,48,78,91,171,205,320,387,691,762
200,6,9,18,21,38,44,71,82,148,179,277,336,600,661
250,5,8,16,19,34,39,63,74,133,161,247,301,538,591
300,5,7,15,17,32,36,57,67,95,148,226,275,492,540
