Length,(1/2,SDR9.3,0.660),(3/4,SDR11,0.860),(1,SDR11,1.077),(1-1/4,SDR10,1.328),(1-1/2,SDR11,1.554),(2,SDR11,1.943),(3,SDR11,2.864),(4,SDR11,3.682)
10,153,305,551,955,1440,2590,7170,13900
20,105,210,379,656,991,1780,4920,9530
30,84,169,304,527,796,1430,3950,7640
40,72,144,260,451,681,1220,3380,6540
50,64,128,231,400,604,1080,3000,5800
60,58,116,209,362,547,983,2720,5250
70,53,107,192,333,503,904,2500,4830
80,50,99,179,310,468,841,2330,4500
90,46,93,168,291,439,789,2180,4220
100,44,88,159,275,415,745,2060,3990
125,39,78,141,243,368,661,1830,3530
150,35,71,127,221,333,598,1660,3200
175,32,65,117,203,306,551,1520,2940
200,30,60,109,189,285,512,1420,2740
250,27,54,97,167,253,454,1260,2430
300,24,48,88,152,229,411,1140,2200
350,22,45,81,139,211,378,1050,2020
400,21,42,75,130,196,352,974,1880
450,19,39,70,122,184,330,914,1770
500,18,37,66,115,174,312,863,1670
