Nominal OD,1/2,3/4,1,1-1/4,1-1/2,2,3,4
Designation,SDR 9.3,SDR 11,SDR 11,SDR 10,SDR 11,SDR 11,SDR 11,SDR 11
Actual ID,0.660,0.860,1.077,1.328,1.554,1.943,2.864,3.682
Length,Capacity In Cubic Feet Of Gas Per Hour
10,1860,3720,6710,11600,17600,31600,87300,169000
20,1280,2560,4610,7990,12100,21700,60000,116000
30,1030,2050,3710,6420,9690,17400,48200,93200
40,878,1760,3170,5490,8300,14900,41200,79700
50,778,1560,2810,4870,7350,13200,36600,70700
60,705,1410,2550,4410,6660,12000,33100,64000
70,649,1300,2340,4060,6130,11000,30500,58900
80,603,1210,2180,3780,5700,10200,28300,54800
90,566,1130,2050,3540,5350,9610,26600,51400
100,535,1070,1930,3350,5050,9080,25100,48600
125,474,949,1710,2970,4480,8050,22300,43000
150,429,860,1550,2690,4060,7290,20200,39000
175,395,791,1430,2470,3730,6710,18600,35900
200,368,736,1330,2300,3470,6240,17300,33400
250,326,652,1180,2040,3080,5530,15300,29600
300,295,591,1070,1850,2790,5010,13900,26900
350,272,544,981,1700,2570,4610,12800,24700
400,253,506,913,1580,2390,4290,11900,22900
450,237,475,856,1480,2240,4020,11100,21500
500,224,448,809,1400,2120,3800,10500,20300
550,213,426,768,1330,2010,3610,9990,19300
600,203,406,733,1270,1920,3440,9530,18400
650,194,389,702,1220,1840,3300,9130,17600
700,187,374,674,1170,1760,3170,8770,16900
750,180,360,649,1130,1700,3050,8450,16300
800,174,348,627,1090,1640,2950,8160,15800
850,168,336,607,1050,1590,2850,7890,15300
900,163,326,588,1020,1540,2770,7650,14800
950,158,317,572,990,1500,2690,7430,14400
1000,154,308,556,963,1450,2610,7230,14000
1100,146,293,528,915,1380,2480,6870,13300
1200,139,279,504,873,1320,2370,6550,12700
1300,134,267,482,836,1260,2270,6270,12100
1400,128,257,463,803,1210,2180,6030,11600
1500,124,247,446,773,1170,2100,5810,11200
1600,119,239,431,747,1130,2030,5610,10800
1700,115,231,417,723,1090,1960,5430,10500
1800,112,224,404,701,1060,1900,5260,10200
1900,109,218,393,680,1030,1850,5110,9900
2000,106,212,382,662,1000,1800,4970,9600
