Length,(1/2,0.622),(3/4,0.824),(1,1.049),(1-1/4,1.380),(1-1/2,1.810),(2,2.067),(2-1/2,2.469),(3,3.068),(4,4.026),(5,5.047),(6,6.065),(8,7.981),(10,10.020),(12,11.928)

10,172,360,678,1390,2090,4020,6400,11300,23100,41800,67600,139000,252000,399000
20,118,247,466,957,1430,2760,4400,7780,15900,28700,46500,95500,173000,275000
30,95,199,374,768,1150,2220,3530,6250,12700,23000,37300,76700,139000,220000
40,81,170,320,657,985,1900,3020,5350,10900,19700,31900,65600,119000,189000
50,72,151,284,583,873,1680,2680,4740,9660,17500,28300,58200,106000,167000
60,65,137,257,528,791,1520,2430,4290,8760,15800,25600,52700,95700,152000
70,60,126,237,486,728,1400,2230,3950,8050,14600,23600,48500,88100,139000
80,56,117,220,452,677,1300,2080,3670,7490,13600,22000,45100,81900,130000
90,52,110,207,424,635,1220,1950,3450,7030,12700,20600,42300,76900,122000
100,50,104,195,400,600,1160,1840,3260,6640,12000,19500,40000,72600,115000
125,44,92,173,355,532,1020,1630,2890,5890,10600,17200,35400,64300,102000
150,40,83,157,322,482,928,1480,2610,5330,9650,15600,32100,58300,92300
175,37,77,144,296,443,854,1360,2410,4910,8880,14400,29500,53600,84900
200,34,71,134,275,412,794,1270,2240,4560,8260,13400,27500,49900,79000
250,30,63,119,244,366,704,1120,1980,4050,7320,11900,24300,44200,70000
300,27,57,108,221,331,638,1020,1800,3670,6630,10700,22100,40100,63400
350,25,53,99,203,305,587,935,1650,3370,6100,9880,20300,36900,58400
400,23,49,92,189,283,546,870,1540,3140,5680,9190,18900,34300,54300
450,22,46,86,177,266,512,816,1440,2940,5330,8620,17700,32200,50900
500,21,43,82,168,251,484,771,1360,2780,5030,8150,16700,30400,48100
550,20,41,78,159,239,459,732,1290,2640,4780,7740,15900,28900,45700
600,19,39,74,152,228,438,699,1240,2520,4560,7380,15200,27500,43600
650,18,38,71,145,218,420,669,1180,2410,4360,7070,14500,26400,41800
700,17,36,68,140,209,403,643,1140,2320,4190,6790,14000,25300,40100
750,17,35,66,135,202,389,619,1090,2230,4040,6540,13400,24400,38600
800,16,34,63,130,195,375,598,1060,2160,3900,6320,13000,23600,37300
850,16,33,61,126,189,363,579,1020,2090,3780,6110,12600,22800,36100
900,15,32,59,122,183,352,561,992,2020,3660,5930,12200,22100,35000
950,15,31,58,118,178,342,545,963,1960,3550,5760,11800,21500,34000
1000,14,30,56,115,173,333,530,937,1910,3460,5600,11500,20900,33100
1100,14,28,53,109,164,316,503,890,1810,3280,5320,10900,19800,31400
1200,13,27,51,104,156,301,480,849,1730,3130,5070,10400,18900,30000
1300,12,26,49,100,150,289,460,813,1660,3000,4860,9980,18100,28700
1400,12,25,47,96,144,277,442,781,1590,2880,4670,9590,17400,27600
1500,11,24,45,93,139,267,426,752,1530,2780,4500,9240,16800,26600
1600,11,23,44,89,134,258,411,727,1480,2680,4340,8920,16200,25600
1700,11,22,42,86,130,250,398,703,1430,2590,4200,8630,15700,24800
1800,10,22,41,84,126,242,386,682,1390,2520,4070,8370,15200,24100
1900,10,21,40,81,122,235,375,662,1350,2440,3960,8130,14800,23400
2000,NA,20,39,79,119,229,364,644,1310,2380,3850,7910,14400,22700
