Nominal,1/2,3/4,1,1-1/4,1-1/2,2,2-1/2,3,4
Actual Id,0.622,0.824,1.049,1.380,1.610,2.067,2.469,3.068,4.026
Length, Capacity In Cubic Feet Of Gas Per Hour,-,-,-,-,-,-,-,-
10,454,949,1790,3670,5500,10600,16900,29800,60800
20,312,652,1230,2520,3780,7280,11600,20500,41800
30,250,524,986,2030,3030,5840,9310,16500,33600
40,214,448,844,1730,2600,5000,7970,14100,28700
50,190,397,748,1540,2300,4430,7060,12500,25500
60,172,360,678,1390,2090,4020,6400,11300,23100
70,158,331,624,1280,1920,3690,5890,10400,21200
80,147,308,580,1190,1790,3440,5480,9690,19800
90,138,289,544,1120,1670,3230,5140,9090,18500
100,131,273,514,1060,1580,3050,4860,8580,17500
125,116,242,456,936,1400,2700,4300,7610,15500
150,105,219,413,848,1270,2450,3900,6890,14100
175,96,202,380,780,1170,2250,3590,6340,12900
200,90,188,353,726,1090,2090,3340,5900,12000
250,80,166,313,643,964,1860,2960,5230,10700
300,72,151,284,583,873,1680,2680,4740,9660
350,66,139,261,536,803,1550,2470,4360,8890
400,62,129,243,499,747,1440,2290,4050,8270
450,58,121,228,468,701,1350,2150,3800,7760
500,55,114,215,442,662,1280,2030,3590,7330
550,52,109,204,420,629,1210,1930,3410,6960
600,50,104,195,400,600,1160,1840,3260,6640
650,47,99,187,384,575,1110,1760,3120,6360
700,46,95,179,368,552,1060,1690,3000,6110
750,44,92,173,355,532,1020,1630,2890,5890
800,42,89,167,343,514,989,1580,2790,5680
850,41,86,162,332,497,957,1530,2700,5500
900,40,83,157,322,482,928,1480,2610,5330
950,39,81,152,312,468,901,1440,2540,5180
1000,38,79,148,304,455,877,1400,2470,5040
1100,36,75,141,289,432,833,1330,2350,4780
1200,34,71,134,275,412,794,1270,2240,4560
1300,33,68,128,264,395,761,1210,2140,4370
1400,31,65,123,253,379,731,1160,2060,4200
1500,30,63,119,244,366,704,1120,1980,4050
1600,29,61,115,236,353,680,1080,1920,3910
1700,28,59,111,228,342,658,1050,1850,3780
1800,27,57,108,221,331,638,1020,1800,3670
1900,27,56,105,215,322,619,987,1750,3560
2000,26,54,102,209,313,602,960,1700,3460
