Length,(1/2,0.622),(3/4,0.824),(1,1.049),(1 1/4,1.380),(1 1/2,1.610),(2,2.067),(2 1/2,2.469),(3,3.068),(4,4.026)
10,660,1380,2600,5340,8000,15400,24600,53400,88500
20,545,949,1790,3670,5500,10600,16900,29800,60800
30,364,762,1440,2950,4410,8500,13600,24000,48900
40,312,652,1230,2520,3780,7280,11600,20500,41800
50,276,578,1090,2240,14032,50692,2032230,5063,234 
60,250,524,986,2030,3030,5840,9310,16500,33600
70,230,484,914,1880,2800,5400,8600,15200,31000
80,214,448,844,1730,2600,5000,7970,14100,28700
90,200,417,787,1610,2420,4670,7450,13200,26700
100,190,397,748,1540,2300,4430,7060,12500,25500
125,170,360,678,1390,2090,4020,6400,11300,23100
150,158,331,624,1280,1920,3690,5890,10400,21200
