Nominal K&L,1/4,3/8,1/2,5/8,3/4,1,1-1/4,1-1/2,2
Nominal ACR,3/8,1/2,5/8,3/4,7/8,1-1/8,1-3/8,-,-
Outside,0.375,0.5,0.625,0.750,0.875,1.125,1.375,1.625,2.125
Inside,0.305,0.402,0.527,0.652,0.745,0.995,1.245,1.481,1.959
Length,Capacity In Cubic Feet of Gas Per Hour
10,303,625,1270,2220,3150,6740,12100,19100,39800
20,208,430,874,1530,2170,4630,8330,13100,27400
30,167,345,702,1230,1740,3720,6690,10600,22000
40,143,295,601,1050,1490,3180,5730,9030,18800
50,127,262,532,931,1320,2820,5080,8000,16700
60,115,237,482,843,1200,2560,4600,7250,15100
70,106,218,444,776,1100,2350,4230,6670,13900
80,98,203,413,722,1020,2190,3940,6210,12900
90,92,190,387,677,961,2050,3690,5820,12100
100,87,180,366,640,907,1940,3490,5500,11500
125,77,159,324,567,804,1720,3090,4880,10200
150,70,144,294,514,729,1560,2800,4420,9200
175,64,133,270,472,670,1430,2580,4060,8460
200,60,124,252,440,624,1330,2400,3780,7870
250,53,110,223,390,553,1180,2130,3350,6980
300,48,99,202,353,501,1070,1930,3040,6320
350,44,91,186,325,461,984,1770,2790,5820
400,41,85,173,302,429,916,1650,2600,5410
450,39,80,162,283,402,859,1550,2440,5080
500,36,75,153,268,380,811,1460,2300,4800
550,35,72,146,254,361,771,1390,2190,4560
600,33,68,139,243,344,735,1320,2090,4350
650,32,65,133,232,330,704,1270,2000,4160
700,30,63,128,223,317,676,1220,1920,4000
750,29,60,123,215,305,652,1170,1850,3850
800,28,58,119,208,295,629,1130,1790,3720
850,27,57,115,201,285,609,1100,1730,3600
900,27,55,111,195,276,590,1060,1680,3490
950,26,53,108,189,268,573,1030,1630,3390
1000,25,52,105,184,261,558,1000,1580,3300
1100,24,49,100,175,248,530,954,1500,3130
1200,23,47,95,167,237,505,910,1430,2990
1300,22,45,91,160,227,484,871,1370,2860
1400,21,43,88,153,218,465,837,1320,2750
1500,20,42,85,148,210,448,806,1270,2650
1600,19,40,82,143,202,432,779,1230,2560
1700,19,39,79,138,196,419,753,1190,2470
1800,18,38,77,134,190,406,731,1150,2400
1900,18,37,74,130,184,394,709,1120,2330
2000,17,36,72,126,179,383,690,1090,2270
