Flow Designation,13,15,18,19,23,25,30,31,37,39,46,48,60,62
Length,Capacity In Cubic Feet Of Gas Per Hour
5,72,99,181,311,355,426,744,863,1420,1638,2830,3270,5780,6550
10,50,69,129,250,303,521,605,971,1179,1990,2320,4110,4640
15,39,55,104,208,248,422,490,775,972,1620,1900,3370,3790
20,34,49,91,183,216,365,425,661,847,1400,1650,2930,3290
25,30,42,82,164,192,325,379,583,762,1250,1480,2630,2940
30,28,39,74,151,177,297,344,528,698,1140,1350,2400,2680
40,23,33,64,131,153,256,297,449,610,988,1170,2090,2330
50,20,30,58,118,137,227,265,397,548,884,1050,1870,2080
60,19,26,53,107,126,207,241,359,502,805,961,1710,1900
70,17,25,49,99,117,191,222,330,466,745,890,1590,1760
80,15,23,45,94,109,178,208,307,438,696,833,1490,1650
90,15,22,44,90,102,169,197,286,414,656,787,1400,1550
100,14,20,41,85,98,159,186,270,393,621,746,1330,1480
150,11,15,31,66,75,123,143,217,324,506,611,1090,1210
200,9,14,28,60,69,112,129,183,283,438,531,948,1050
250,8,12,25,53,61,99,117,163,254,390,476,850,934
300,8,11,23,50,57,90,107,147,234,357,434,777,854
