Flow Designation,13,15,18,19,23,25,30,31,37,39,46,48,60,62
Length,Capacity In Cubic Feet Of Gas Per Hour
10,826,1070,1710,2060,3150,4000,7830,8950,13100,14441,28600,31200,54400,63800
25,509,664,1090,1310,2040,2550,4860,5600,8400,9339,18000,19900,34700,40400
30,461,603,999,1190,1870,2340,4430,5100,7680,8564,16400,18200,31700,36900
40,396,520,867,1030,1630,2030,3820,4400,6680,7469,14200,15800,27600,32000
50,352,463,777,926,1460,1820,3410,3930,5990,6717,12700,14100,24700,28600
75,284,376,637,757,1210,1490,2770,3190,4920,5539,10300,11600,20300,23400
80,275,363,618,731,1170,1450,2680,3090,4770,5372,9990,11200,19600,22700
100,243,324,553,656,1050,1300,2390,2760,4280,4830,8930,10000,17600,20300
150,196,262,453,535,866,1060,1940,2240,3510,3983,7270,8210,14400,16600
200,169,226,393,464,755,923,1680,1930,3050,3474,6290,7130,12500,14400
250,150,202,352,415,679,828,1490,1730,2740,3124,5620,6390,11200,12900
300,136,183,322,379,622,757,1360,1570,2510,2865,5120,5840,10300,11700
400,117,158,279,328,542,657,1170,1360,2180,2498,4430,5070,8920,10200
500,104,140,251,294,488,589,1050,1210,1950,2247,3960,4540,8000,9110
