Nominal OD,1/2,3/4,1,1-1/4,1-1/2,2,3,4
Designation,SDR 9.3,SDR 11,SDR 11,SDR 10,SDR 11,SDR 11,SDR 11,SDR 11
Actual ID,0.660,0.860,1.077,1.328,1.554,1.943,2.864,3.682
Length,Capacity In Cubic Feet Of Gas Per Hour
10,340,680,1230,2130,3210,5770,16000,30900
20,233,468,844,1460,2210,3970,11000,21200
30,187,375,677,1170,1770,3180,8810,17000
40,160,321,580,1000,1520,2730,7540,14600
50,142,285,514,890,1340,2420,6680,12900
60,129,258,466,807,1220,2190,6050,11700
70,119,237,428,742,1120,2010,5570,10800
80,110,221,398,690,1040,1870,5180,10000
90,103,207,374,648,978,1760,4860,9400
100,98,196,353,612,924,1660,4590,8900
125,87,173,313,542,819,1470,4070,7900
150,78,157,284,491,742,1330,3690,7130
175,72,145,261,452,683,1230,3390,6560
200,67,135,243,420,635,1140,3160,6100
250,60,119,215,373,563,1010,2800,5410
300,54,108,195,338,510,916,2530,4900
350,50,99,179,311,469,843,2330,4510
400,46,92,167,289,436,784,2170,4190
450,43,87,157,271,409,736,2040,3930
500,41,82,148,256,387,695,1920,3700
