Length,(1/2,0.622),(3/4,0.824),(1,1.049),(1 1/4,1.380),(1 1/2,1.610),(2,2.067),(2 1/2,2.469),(3,3.068),(4,4.026)
10,2280,4780,9000,18500,27300,53300,85000,150000,306000,446000
20,1830,3840,7220,14800,22200,42400,68200,121000,246000
30,1570,3280,6180,12700,19200,36600,58700,103000,211000
40,1390,2910,5480,11300,16900,32500,51700,91500,187000
50,1260,2640,4970,10200,15300,29400,46900,82900,169000
60,1160,2430,4570,9380,14100,27100,43100,76300,156000
70,1080,2260,4250,8730,13100,25200,40100,70900,145000
80,1010,2120,3990,8190,12300,23600,37700,66600,136000
90,956,2000,3770,7730,11600,22300,35600,62900,128000
100,848,1770,3340,6850,10300,19800,31500,55700,114000
125,768,1610,3020,6210,9300,17900,28600,50500,103000
150,706,1480,2780,5710,8560,16500,26300,46500,94700
175,657,1370,2590,5320,7960,15300,24400,43200,88100
200,582,1220,2290,4710,7060,13600,21700,38300,78100
250,528,1100,2080,4270,6400,12300,19600,34700,70800
300,486,1020,1910,3930,5880,11300,18100,31900,65100
350,452,945,1780,3650,5470,10500,16800,29700,60600
400,424,886,1670,3430,5140,9890,15800,27900,56800
450,400,837,1580,3240,4850,9340,14900,26400,53700
500,380,795,1500,3070,4610,8870,14100,25000,51000
550,363,759,1430,2930,4400,8460,13500,23900,48600
600,347,726,1370,2810,4210,8110,12900,22800,46600
650,334,698,1310,2700,4040,7790,12400,21900,44800
700,321,672,1270,2600,3900,7500,12000,21100,43100
750,310,649,1220,2510,3760,7240,11500,20400,41600
800,300,628,1180,2430,3640,7010,11200,19800,40300
850,291,609,1150,2360,3530,6800,10800,19200,39100
900,283,592,1110,2290,3430,6600,10500,18600,37900
950,275,575,1080,2230,3330,6420,10200,18100,36900
1000,261,546,1030,2110,3170,6100,9720,17200,35000
1100,249,521,982,2020,3020,5820,9270,16400,33400
1200,239,499,940,1930,2890,5570,8880,15700,32000
1300,229,480,903,1850,2780,5350,8530,15100,30800
1400,221,462,870,1790,2680,5160,8220,14500,29600
1500,213,446,840,1730,2590,4980,7940,14000,28700
1600,206,432,813,1670,2500,4820,7680,13600,27700
1700,200,419,789,1620,2430,4670,7450,13200,26900
1800,194,407,766,1570,2360,4540,7230,12800,26100
1900,189,395,745,1530,2290,4410,7030,12400,25400
2000,184,385,726,1490,2240,4290,6830,12000,24600
