Nominal,1/2,3/4,1,1-1/4,1-1/2,2,2-1/2,3,4
Actual Id,0.622,0.824,1.049,1.380,1.610,2.067,2.469,3.068,4.026
Length, Capacity In Cubic Feet Of Gas Per Hour
10,291,608,1150,2350,3520,6790,10800,19100,39000
20,200,418,787,1620,2420,4660,7430,13100,26800
30,160,336,632,1300,1940,3750,5970,10600,21500
40,137,287,541,1110,1660,3210,5110,9030,18400
50,122,255,480,985,1480,2840,4530,8000,16300
60,110,231,434,892,1340,2570,4100,7250,14800
80,101,212,400,821,1230,2370,3770,6670,13600
100,94,197,372,763,1140,2200,3510,6210,12700
125,89,185,349,716,1070,2070,3290,5820,11900
150,84,175,330,677,1010,1950,3110,5500,11200
175,74,155,292,600,899,1730,2760,4880,9950
200,67,140,265,543,814,1570,2500,4420,9010
250,62,129,243,500,749,1440,2300,4060,8290
300,58,120,227,465,697,1340,2140,3780,7710
350,51,107,201,412,618,1190,1900,3350,6840
400,46,97,182,373,560,1080,1720,3040,6190
450,42,89,167,344,515,991,1580,2790,5700
500,40,83,156,320,479,922,1470,2600,5300
550,37,78,146,300,449,865,1380,2440,4970
600,35,73,138,283,424,817,1300,2300,4700
650,33,70,131,269,403,776,1240,2190,4460
700,32,66,125,257,385,741,1180,2090,4260
750,30,64,120,246,368,709,1130,2000,4080
800,29,61,115,236,354,681,1090,1920,3920
850,28,59,111,227,341,656,1050,1850,3770
900,27,57,107,220,329,634,1010,1790,3640
950,26,55,104,213,319,613,978,1730,3530
1000,25,53,100,206,309,595,948,1680,3420
1100,25,52,97,200,300,578,921,1630,3320
1200,24,50,95,195,292,562,895,1580,3230
1300,23,48,90,185,277,534,850,1500,3070
1400,22,46,86,176,264,509,811,1430,2930
1500,21,44,82,169,253,487,777,1370,2800
1600,20,42,79,162,243,468,746,1320,2690
1700,19,40,76,156,234,451,719,1270,2590
1800,19,39,74,151,226,436,694,1230,2500
1900,18,38,71,146,219,422,672,1190,2420
2000,18,37,69,142,212,409,652,1150,2350
