Nominal K&L,1/4,3/8,1/2,5/8,3/4,1,1-1/4,1-1/2,2
Nominal ACR,3/8,1/2,5/8,3/4,7/8,1-1/8,1-3/8,-,-
Outside,0.375,0.5,0.625,0.750,0.875,1.125,1.375,1.625,2.125
Inside,0.305,0.402,0.527,0.652,0.745,0.995,1.245,1.481,1.959
Length,Capacity In Cubic Feet of Gas Per Hour
10,513,1060,2150,3760,5330,11400,20500,32300,67400
20,352,727,1480,2580,3670,7830,14100,22200,46200
30,283,584,1190,2080,2940,6290,11300,17900,37200
40,242,500,1020,1780,2520,5380,9690,15300,31800
50,215,443,901,1570,2230,4770,8590,13500,28200
60,194,401,816,1430,2020,4320,7780,12300,25600
70,179,369,751,1310,1860,3980,7160,11300,23500
80,166,343,699,1220,1730,3700,6660,10500,21900
90,156,322,655,1150,1630,3470,6250,9850,20500
100,147,304,619,1080,1540,3280,5900,9310,19400
125,131,270,549,959,1360,2910,5230,8250,17200
150,118,244,497,869,1230,2630,4740,7470,15600
175,109,225,457,799,1130,2420,4360,6880,14300
200,101,209,426,744,1060,2250,4060,6400,13300
250,90,185,377,659,935,2000,3600,5670,11800
300,81,168,342,597,847,1810,3260,5140,10700
350,75,155,314,549,779,1660,3000,4730,9840
400,70,144,292,511,725,1550,2790,4400,9160
450,65,135,274,480,680,1450,2620,4130,8590
500,62,127,259,453,643,1370,2470,3900,8120
550,59,121,246,430,610,1300,2350,3700,7710
600,56,115,235,410,582,1240,2240,3530,7350
650,54,111,225,393,558,1190,2140,3380,7040
700,51,106,216,378,536,1140,2060,3250,6770
750,50,102,208,364,516,1100,1980,3130,6520
800,48,99,201,351,498,1060,1920,3020,6290
850,46,96,195,340,482,1030,1850,2920,6090
900,45,93,189,330,468,1000,1800,2840,5910
950,44,90,183,320,454,970,1750,2750,5730
1000,42,88,178,311,442,944,1700,2680,5580
1100,40,83,169,296,420,896,1610,2540,5300
1200,38,79,161,282,400,855,1540,2430,5050
1300,37,76,155,270,383,819,1470,2320,4840
1400,35,73,148,260,368,787,1420,2230,4650
1500,34,70,143,250,355,758,1360,2150,4480
1600,33,68,138,241,343,732,1320,2080,4330
1700,32,66,134,234,331,708,1270,2010,4190
1800,31,64,130,227,321,687,1240,1950,4060
1900,30,62,126,220,312,667,1200,1890,3940
2000,29,60,122,214,304,648,1170,1840,3830
